PCODE,DATE,G_ID,power_barrel,contact_barrel,clutch_barrel
50054,20200603,0,0.0,2.0,0.0
50054,20200604,0,0.0,0.0,0.0
50054,20200607,0,0.0,1.0,0.0
50054,20200611,0,0.0,0.0,0.0
50054,20200613,1,0.0,1.0,0.0
50054,20200613,2,0.0,0.0,0.0
50054,20200614,0,0.0,0.0,0.0
50054,20200616,0,0.0,1.0,0.0
50054,20200619,0,0.0,0.0,0.0
50054,20200625,1,0.0,0.0,0.0
50054,20200626,0,0.0,1.0,0.0
50054,20200630,0,1.0,0.0,0.0
50054,20200701,0,0.0,0.0,0.0
50054,20200704,0,0.0,1.0,0.0
50054,20200709,0,0.0,1.0,0.0
50054,20200715,0,0.0,0.0,0.0
50054,20200717,0,0.0,0.0,0.0
50054,20200718,0,0.0,0.0,0.0
50054,20200719,0,0.0,0.0,0.0
50054,20200721,0,0.0,0.0,0.0
50054,20200801,0,0.0,0.0,0.0
50054,20200805,0,0.0,0.0,0.0
50054,20200812,0,0.0,0.0,0.0
50054,20200813,0,0.0,0.0,0.0
50054,20200814,0,0.0,0.0,0.0
50054,20200820,0,0.0,0.0,0.0
50054,20200830,2,0.0,0.0,0.0
50054,20200904,1,0.0,0.0,0.0
50054,20200905,0,0.0,0.0,0.0
50054,20201018,0,0.0,0.0,0.0
50054,20210423,0,0.0,0.0,0.0
50054,20210425,0,1.0,0.0,0.0
50054,20210606,0,0.0,0.0,0.0
50054,20210619,2,0.0,1.0,0.0
50054,20210623,0,0.0,2.0,0.0
50054,20210624,0,0.0,0.0,0.0
50054,20210702,0,0.0,0.0,0.0
50054,20210704,0,0.0,1.0,0.0
50054,20210705,0,0.0,0.0,0.0
50066,20200506,0,0.0,0.0,0.0
50066,20200510,0,0.0,0.0,0.0
50066,20200517,0,0.0,1.0,0.0
50066,20200521,0,0.0,1.0,0.0
50066,20200522,0,0.0,0.0,0.0
50066,20200523,0,0.0,0.0,0.0
50066,20200529,0,0.0,0.0,0.0
50066,20200530,0,0.0,0.0,0.0
50066,20200602,0,0.0,0.0,0.0
50066,20200604,0,0.0,0.0,0.0
50066,20200610,0,0.0,0.0,0.0
50066,20200718,0,1.0,0.0,0.0
