name,Team,DATE,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA,GYEAR,PCODE,POSITION,AGE_VA,MONEY,G_ID,power_barrel,contact_barrel,clutch_barrel
강백호,kt,20210404,한화,W 3:2,4,1B,1,3,0,2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0.667,,0.667,1.4169999999999998,16,1.14,0.89,0.122,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
강백호,kt,20210406,LG,L 2:3,4,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.28600000000000003,,0.28600000000000003,0.6609999999999999,14,2.07,-1.0,-0.183,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
강백호,kt,20210407,LG,W 7:3,4,1B,1,4,0,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0.455,,0.455,0.993,17,1.43,1.75,0.33,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
강백호,kt,20210408,LG,L 3:7,4,1B,1,4,0,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0.467,,0.467,0.996,17,0.89,-0.76,-0.102,2021,68050,내,21,31000만원,0.0,0.0,2.0,0.0
강백호,kt,20210409,@삼성,L 5:7,4,1B,1,5,0,3,0,1,0,5,3,0,0,0,0,0,1,1,0,0,0.5,,0.6,1.145,21,0.94,1.88,-0.122,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
강백호,kt,20210410,@삼성,L 6:7,4,RF,1,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.478,,0.565,1.104,22,0.94,1.0,0.10300000000000001,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
강백호,kt,20210411,@삼성,L 2:4,4,RF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.444,,0.519,1.0190000000000001,16,1.57,-0.2,-0.024,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
강백호,kt,20210413,@두산,W 8:7,3,1B,1,5,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.406,,0.469,0.9259999999999999,18,1.31,-2.23,-0.1,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
강백호,kt,20210414,@두산,L 1:3,3,1B,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.371,,0.429,0.8640000000000001,23,1.19,-0.3,-0.042,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
강백호,kt,20210415,@두산,W 8:3,3,1B,1,2,0,2,1,0,0,3,0,0,0,3,0,2,0,0,0,0,0.405,,0.486,0.986,18,1.11,1.51,0.134,2021,68050,내,21,31000만원,0.0,1.0,0.0,0.0
강백호,kt,20210416,키움,W 8:4,3,RF,1,4,2,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.415,,0.512,1.012,12,0.84,0.68,0.085,2021,68050,내,21,31000만원,0.0,1.0,0.0,1.0
강백호,kt,20210417,키움,W 8:5,3,1B,1,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.4,,0.489,0.9790000000000001,19,1.36,-0.15,-0.008,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
강백호,kt,20210418,키움,W 10:2,3,1B,1,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.38799999999999996,,0.469,0.935,14,0.66,-0.04,0.047,2021,68050,내,21,31000만원,0.0,2.0,0.0,0.0
강백호,kt,20210420,@NC,W 5:2,3,1B,1,4,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.377,,0.45299999999999996,0.9129999999999999,18,1.23,0.32,0.098,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
강백호,kt,20210421,@NC,L 3:4,3,1B,1,5,1,3,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0.397,,0.517,0.988,20,1.64,2.68,0.273,2021,68050,내,21,31000만원,0.0,1.0,2.0,1.0
강백호,kt,20210422,@NC,W 11:5,3,1B,1,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.387,,0.5,0.9520000000000001,15,0.43,-1.23,-0.046,2021,68050,내,21,31000만원,0.0,1.0,1.0,0.0
강백호,kt,20210423,롯데,L 5:10,3,1B,1,5,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0.40299999999999997,,0.507,0.9690000000000001,19,0.28,1.4,0.003,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
강백호,kt,20210424,롯데,L 2:4,3,1B,1,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.408,,0.5489999999999999,1.013,21,1.27,1.13,0.079,2021,68050,내,21,31000만원,0.0,1.0,0.0,0.0
