name,Team,day,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA,GYEAR,PCODE,POSITION,AGE_VA,MONEY
나성범,NC,2020-05-05,@삼성,W 4:0,3,DH,1,3,1,2,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0.667,,1.667,2.417,20,0.49,1.15,0.129,2020,62947,외,30,50000만원
나성범,NC,2020-05-06,@삼성,W 4:3,3,DH,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.286,,0.714,1.159,19,0.61,-1.52,-0.08,2020,62947,외,30,50000만원
나성범,NC,2020-05-07,@삼성,W 8:2,3,DH,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.2,,0.5,0.885,11,0.39,-0.87,-0.03,2020,62947,외,30,50000만원
나성범,NC,2020-05-08,LG,W 13:5,3,DH,1,3,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0.154,,0.385,0.774,27,0.85,0.79,0.054,2020,62947,외,30,50000만원
나성범,NC,2020-05-10,LG,L 8:10,3,DH,1,5,2,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0.278,,0.444,0.879,15,0.54,1.04,0.104,2020,62947,외,30,50000만원
나성범,NC,2020-05-12,KT,W 7:6,3,DH,1,5,2,2,0,0,1,5,2,0,0,0,0,0,2,0,0,0,0.304,,0.565,0.994,23,1.29,1.3,0.43,2020,62947,외,30,50000만원
나성범,NC,2020-05-13,KT,W 5:4,3,DH,1,5,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.321,,0.643,1.067,27,2.13,1.32,0.393,2020,62947,외,30,50000만원
나성범,NC,2020-05-14,KT,W 1:0,3,DH,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.281,,0.563,0.941,15,1.09,-1.47,-0.13,2020,62947,외,30,50000만원
나성범,NC,2020-05-15,@SK,W 6:2,3,DH,1,3,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0.257,,0.514,0.895,25,1.01,0.67,0.067,2020,62947,외,30,50000만원
나성범,NC,2020-05-16,@SK,W 2:1,3,DH,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.237,,0.474,0.843,15,0.8,-0.29,-0.041,2020,62947,외,30,50000만원
나성범,NC,2020-05-17,@SK,W 11:5,3,DH,1,3,3,2,0,0,1,5,1,0,0,2,0,0,0,0,0,0,0.268,,0.561,0.973,18,0.52,1.56,0.026,2020,62947,외,30,50000만원
나성범,NC,2020-05-19,@두산,W 5:4,3,DH,1,5,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.283,,0.543,0.954,19,0.67,-0.46,0.055,2020,62947,외,30,50000만원
나성범,NC,2020-05-20,@두산,L 1:2,3,DH,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.255,,0.49,0.867,20,1.31,-1.13,-0.172,2020,62947,외,30,50000만원
나성범,NC,2020-05-21,@두산,W 12:6,3,DH,1,6,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.263,,0.474,0.847,15,1.56,0.15,0.159,2020,62947,외,30,50000만원
나성범,NC,2020-05-22,한화,L 3:5,3,DH,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.246,,0.443,0.795,13,0.9,-1.13,-0.113,2020,62947,외,30,50000만원
나성범,NC,2020-05-23,한화,W 3:0,3,DH,1,4,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.277,,0.462,0.835,9,0.66,1.08,0.095,2020,62947,외,30,50000만원
나성범,NC,2020-05-24,한화,W 10:5,3,RF,1,4,1,2,1,0,0,3,3,0,0,1,0,0,1,0,0,0,0.29,,0.478,0.866,16,1.53,3.28,0.39,2020,62947,외,30,50000만원
나성범,NC,2020-05-26,키움,W 7:2,3,DH,1,3,1,2,2,0,0,4,1,0,0,1,0,0,1,0,0,0,0.306,,0.514,0.919,13,0.37,1.54,0.109,2020,62947,외,30,50000만원
나성범,NC,2020-05-27,키움,W 10:3,3,DH,1,3,1,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0.32,,0.52,0.94,17,0.7,0.56,0.047,2020,62947,외,30,50000만원
나성범,NC,2020-05-28,키움,W 9:6,3,DH,1,3,3,2,0,0,2,8,3,0,0,1,0,0,1,0,0,0,0.333,,0.603,1.037,20,1.4,2.25,0.258,2020,62947,외,30,50000만원
