name,Team,day,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA,GYEAR,PCODE,POSITION,AGE_VA,MONEY
나성범,NC,2018-03-24,LG,W 4:2,3,RF,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,0,0,12,1.49,-1.27,-0.1,2018,62947,외,28,43000만원
나성범,NC,2018-03-25,LG,W 7:1,3,RF,1,3,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0.143,,0.143,0.476,15,0.9,1.42,0.113,2018,62947,외,28,43000만원
나성범,NC,2018-03-27,한화,W 9:6,3,RF,1,4,1,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.273,,0.545,0.93,15,0.93,4.22,0.329,2018,62947,외,28,43000만원
나성범,NC,2018-03-28,한화,L 2:6,3,RF,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,,0.4,0.694,9,0.87,-1.09,-0.087,2018,62947,외,28,43000만원
나성범,NC,2018-03-29,한화,W 4:1,3,RF,1,4,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.263,,0.421,0.754,15,1.6,-0.19,-0.076,2018,62947,외,28,43000만원
나성범,NC,2018-03-30,@롯데,W 7:5,3,RF,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.208,,0.333,0.603,25,0.36,-1.3,-0.051,2018,62947,외,28,43000만원
나성범,NC,2018-03-31,@롯데,W 10:5,3,RF,1,4,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.214,,0.321,0.612,18,1.2,0.32,0.154,2018,62947,외,28,43000만원
나성범,NC,2018-04-01,@롯데,L 2:3,3,RF,1,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.25,,0.344,0.658,11,1.11,0.02,0.022,2018,62947,외,28,43000만원
나성범,NC,2018-04-03,삼성,W 4:3,3,RF,1,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.25,,0.361,0.669,23,1.78,0.51,0.425,2018,62947,외,28,43000만원
나성범,NC,2018-04-04,삼성,W 4:1,3,RF,1,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,,0.375,0.677,9,0.77,-0.07,-0.056,2018,62947,외,28,43000만원
나성범,NC,2018-04-05,삼성,L 1:4,3,RF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,,0.364,0.662,12,1.21,-0.73,-0.105,2018,62947,외,28,43000만원
나성범,NC,2018-04-07,@두산,L 3:6,3,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.229,,0.333,0.608,15,1.53,-1.37,-0.177,2018,62947,외,28,43000만원
나성범,NC,2018-04-08,@두산,L 10:11,3,RF,1,5,2,3,1,0,0,4,3,0,0,0,0,0,2,0,0,0,0.264,,0.377,0.681,18,1.53,2.58,0.229,2018,62947,외,28,43000만원
나성범,NC,2018-04-10,KT,L 4:5,3,RF,1,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.263,,0.368,0.668,12,0.63,-0.27,0.031,2018,62947,외,28,43000만원
나성범,NC,2018-04-11,KT,L 4:12,6,RF,1,3,1,2,1,0,1,6,1,0,0,0,1,0,0,0,0,0,0.283,,0.45,0.778,17,0.54,1.73,0.192,2018,62947,외,28,43000만원
