name,day,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA
박민우,04-13,롯데,W 7:5,1,2B,1,4,0,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0.5,,0.75,1.35,18,0.92,-0.14,0.023
박민우,04-14,롯데,W 8:1,1,2B,1,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,,0.625,1.181,20,0.37,0.02,-0.004
박민우,04-16,LG,L 2:7,1,2B,1,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.462,,0.538,1.038,21,2.36,-0.13,-0.088
박민우,04-17,LG,L 2:4,1,2B,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.333,,0.389,0.789,26,1.38,-0.65,-0.156
박민우,04-18,LG,L 1:6,2,2B,1,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.364,,0.409,0.826,20,0.58,0.18,0.042
박민우,04-19,@SK,W 14:11,1,2B,1,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.37,,0.407,0.821,19,0.5,0.04,-0.027
박민우,04-20,@SK,L 4:10,1,2B,1,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0.367,,0.4,0.794,11,1.25,-0.06,-0.024
박민우,04-21,@SK,L 1:4,2,2B,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.364,,0.394,0.799,17,1.25,0.93,0.093
박민우,04-23,@KT,W 4:3,2,2B,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,,0.342,0.699,16,1.45,-1.77,-0.184
박민우,04-24,@KT,W 10:2,1,2B,1,4,1,1,1,0,0,2,2,0,1,0,1,0,0,0,0,0,0.31,,0.357,0.719,19,1.05,1.21,0.152
박민우,04-27,한화,W 15:1,1,2B,1,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0.333,,0.4,0.773,18,1.06,0.32,0.037
박민우,04-28,한화,W 10:4,1,2B,1,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333,,0.396,0.778,13,0.63,-0.09,-0.011
