name,day,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA
나성범,04-01,KIA,W 5:4,3,RF,1,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,,0.5,0.75,9,1.27,-1.28,-0.137
나성범,04-02,KIA,L 3:4,3,RF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.25,,0.375,0.625,15,1.4,-0.61,-0.055
나성범,04-05,@두산,L 2:6,3,RF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,,0.333,0.583,12,0.75,-1.21,-0.053
나성범,04-06,@두산,L 0:2,3,RF,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.214,,0.286,0.552,13,0.85,-0.3,-0.042
나성범,04-07,@두산,W 8:2,3,RF,1,4,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.278,,0.333,0.683,19,0.42,0.26,0.042
나성범,04-08,한화,W 5:4,3,RF,1,4,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.318,,0.409,0.784,10,0.9,1.28,0.112
나성범,04-09,한화,W 10:1,3,RF,1,4,3,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.385,,0.5,0.929,16,0.37,1.17,0.055
나성범,04-10,한화,L 1:2,3,RF,1,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.379,,0.483,0.92,13,1.31,-0.18,-0.06
나성범,04-12,@삼성,L 5:16,3,RF,1,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,1,0.375,,0.563,0.979,13,0.42,0.03,0.083
나성범,04-13,@삼성,W 7:2,3,RF,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.324,,0.486,0.852,15,0.84,-1.54,-0.121
